Dataset,Creation date,Creation location,Creation methodology,Creation source,Aggregated creator contributor,Maintenance frequency,Maintenance location,Maintenance methodology,Modification date,Aggregated Maintenance contributor,Usage access procedure,Usage license,Usage requirements,Usage reuse,Usage concepts covered,Usage dataset description,Usage dataset entities,Usage examples,Usage dataset quality,Usage RDF serialization,Usage dataset triples,Usage End availability,Usage End validity,Usage start availability,Usage access address,Usage location,Usage dataset webpage,Usage audience,Usage Dataset publisher,Usage rights
http://linked.opendata.cz/resource/dataset/ares/basic,0,0,0,1,"0,2",0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1
http://linked.opendata.cz/resource/dataset/ares/or/distribution/rdf,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/ares/rzp/distribution/rdf,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/atc/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/buyer-profiles/contracts/cz,0,0,0,1,"0,3",0,0,0,0,"0,4",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
http://linked.opendata.cz/resource/dataset/buyer-profiles/profiles/cz,0,0,0,1,"0,3",0,0,0,0,"0,4",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
http://linked.opendata.cz/resource/dataset/cenia-irz-chemicals/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/cenia.cz/irz/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/coi.cz/kontroly/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/coi.cz/sankce/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/coi.cz/zajisteni/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/coi.cz/zakazy/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/coi.cz/zamereni/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/court/cz,0,0,0,1,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
